Max Temperature,Min Temperature,Wind Speed,Relative Humidity,Conditions
35.9,25,12.9,67.11,Rain
36,27.5,12.1,68.15,Rain
35.5,28,11.2,73.05,Rain
35,28,19.4,71.29,"Rain, Partially cloudy"
36,28,15.7,69.52,Clear
35.7,26.5,25.9,72.42,"Rain, Partially cloudy"
28.1,25,12.1,85.11,"Rain, Partially cloudy"
31.2,25,14.8,81.74,"Rain, Partially cloudy"
31,26,19.4,80.83,"Rain, Partially cloudy"
33.7,26.5,14.8,80.11,"Rain, Partially cloudy"
33.2,26,14.3,79.21,"Rain, Partially cloudy"
33.5,25.5,14.8,82.51,"Rain, Partially cloudy"
32.7,25,18.4,81.14,"Rain, Partially cloudy"
33.5,26,15.8,79.8,"Rain, Partially cloudy"
33.5,26,18.4,78.08,"Rain, Partially cloudy"
34.5,27,23.2,76.82,"Rain, Partially cloudy"
34.5,27,15.7,72.4,Partially cloudy
29,26,23.2,67.26,"Rain, Partially cloudy"
25.5,24,22.3,81.14,"Rain, Overcast"
26.7,24,10.3,87.66,"Rain, Partially cloudy"
32.5,25,17.5,80.66,Partially cloudy
31.8,25,15.7,85.55,"Rain, Partially cloudy"
30.9,25,18.4,85.23,"Rain, Partially cloudy"
28.5,23,18.4,80.03,"Rain, Partially cloudy"
33,25,16.6,75.99,"Rain, Partially cloudy"
32.7,25,16.7,79.28,"Rain, Partially cloudy"
28.3,24,21.4,83.47,"Rain, Partially cloudy"
30,24,13,81.15,"Rain, Partially cloudy"
33,25.9,16.6,77.18,"Rain, Partially cloudy"
34.1,26,16.6,75.58,"Rain, Partially cloudy"
31,25,16.6,81.67,"Rain, Partially cloudy"
32,26,13.9,79.83,"Rain, Partially cloudy"
31,25.5,13.9,87.3,"Rain, Partially cloudy"
33,25,13.9,80.45,"Rain, Partially cloudy"
32.5,26,18.5,82.36,"Rain, Partially cloudy"
29.2,24,18.5,72.02,"Rain, Partially cloudy"
28.1,23,20.5,67.45,Partially cloudy
27.4,22,24.1,61.22,Partially cloudy
27.4,21,21.4,60.35,Clear
27.1,20,24.1,61.17,Clear
27.5,20.5,17.5,59.47,Partially cloudy
29.3,21.5,19.4,62.86,Clear
30.5,25,21.4,56.39,Partially cloudy
27,22.5,23.2,83.82,"Rain, Overcast"
25,22.7,19.4,85.94,"Rain, Overcast"
27,22.8,25,72.69,"Rain, Partially cloudy"
24.5,21,21.4,60.1,"Rain, Partially cloudy"
24,20.5,23.2,69.63,"Rain, Partially cloudy"
23,21,18.4,66.07,"Rain, Partially cloudy"
24.5,21.4,15.7,57.91,"Rain, Partially cloudy"
27.5,21.5,21.2,54.08,Clear
